case_id,feature_name,source_frame_prev,source_frame_current,event_relative_ms,previous_value,current_value,delta_value,delta_time_ms,raw_rate,robust_rate,dynamic_status,dynamic_quality,local_jitter_metric,local_residual,input_quality_prev,input_quality_current,landmarks_used
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,10.0,11,-2266.666666666667,-7.272449858175861,13.289686208565229,20.56213606674109,33.333333333333314,616.8640820022331,2.5390373765510157,SUPPORTED,HIGH,3.5682737896030607,12.710058749453447,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,11.0,12,-2233.3333333333335,13.289686208565229,-0.4622644958116382,-13.751950704376867,33.33333333333337,-412.5585211313055,-33.363080142162985,SUPPORTED,HIGH,2.1456588136082804,0.0536971273376487,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,18.0,19,-2000.0000000000002,-7.799448453948287,4.498783000083478,12.298231454031765,33.33333333333326,368.9469436209538,87.74506691251975,SUPPORTED,HIGH,2.645937837186538,3.02314598077143,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,52.0,53,-866.666666666667,-4.262577936216758,7.334721594543936,11.597299530760694,33.33333333333303,347.918985922824,118.37769567577412,LOW_DYNAMIC_CONFIDENCE,LIMITED,2.5504587805227508,3.457194196635185,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,1.0,2,-2566.666666666667,4.863519717025525,-5.850368047557907,-10.713887764583433,33.333333333333336,-321.416632937503,-19.523444893408527,TEMPORAL_OUTLIER,LIMITED,4.969389167625125,9.96744628434131,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,43.0,44,-1166.666666666667,-14.123567261055456,-3.9149775051147913,10.208589755940665,33.33333333333326,306.2576926782206,117.08010330591611,SUPPORTED,HIGH,1.6464635801639194,1.6464635801639194,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,41.0,42,-1233.3333333333335,-0.6042047870267027,-10.732816753062878,-10.128611966036175,33.33333333333326,-303.8583589810859,-40.712327338666064,SUPPORTED,HIGH,4.691685066740027,4.079849321340615,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:LOW_CONFIDENCE,right_ankle:LOW_CONFIDENCE | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:LOW_CONFIDENCE","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,2.0,3,-2533.3333333333335,-5.850368047557907,3.236652687133045,9.087020734690952,33.33333333333333,272.61062204072863,57.19559542367601,SUPPORTED,HIGH,2.5021330821313477,0.30225081329365855,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,28.0,29,-1666.666666666667,-3.6128979864125483,4.6881433532690835,8.301041339681632,33.33333333333326,249.03124019044952,40.48863165827698,SUPPORTED,HIGH,2.5666900744547285,5.777324339139264,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,hka_projected_bilateral_difference_deg,9.0,10,-2300.0,0.16254261303572548,-7.272449858175861,-7.4349924712115865,33.333333333333314,-223.04977413634774,40.77580357544934,SUPPORTED,HIGH,4.1852223022399295,8.277020759574196,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,7.0,8,-2366.666666666667,126.30411051707043,9.71295672553322,-116.59115379153721,33.33333333333334,-3497.7346137461154,-483.7135751299116,TEMPORAL_OUTLIER,LIMITED,23.146023623206887,69.28904404257453,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,3.0,4,-2500.0,5.018254792870763,121.3568449425915,116.33859014972073,33.33333333333334,3490.157704491621,993.114152191135,LOW_DYNAMIC_CONFIDENCE,LIMITED,21.50334247570045,44.78540022180378,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,50.0,51,-933.3333333333335,116.62421826788653,8.672194599263575,-107.95202366862296,33.33333333333326,-3238.5607100586963,-189.06734569590668,SUPPORTED,HIGH,26.253933057965945,50.25690230694392,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,29.0,30,-1633.3333333333335,52.565823493974925,156.24590252686943,103.6800790328945,33.33333333333337,3110.402370986831,983.604198647572,LOW_DYNAMIC_CONFIDENCE,LIMITED,23.46306120239413,43.09713563687177,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,37.0,38,-1366.666666666667,58.82405271838224,142.22587268380454,83.4018199654223,33.33333333333303,2502.054598962692,937.7862498775298,LOW_DYNAMIC_CONFIDENCE,LIMITED,15.736623578358461,24.548704848055635,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,19.0,20,-1966.666666666667,27.82781143342508,106.40434646347303,78.57653503004795,33.33333333333337,2357.2960509014356,1121.3113437447328,SUPPORTED,HIGH,14.080090022542564,14.080090022542564,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,14.0,15,-2133.3333333333335,96.82007412878744,22.557302728416857,-74.26277140037058,33.333333333333314,-2227.8831420111187,-852.8197480951318,LOW_DYNAMIC_CONFIDENCE,LIMITED,11.381644848441159,27.3718877641236,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_delphine_cascarino_out_of_world_cup_injury_vs_psg_21_5_23_00m03s351_00m06s647_acl_candidate,left_elbow_angle_2d_deg,10.0,11,-2266.666666666667,69.90045271598721,141.2986948713872,71.39824215539998,33.333333333333314,2141.947264662001,486.55139936706763,LOW_DYNAMIC_CONFIDENCE,LIMITED,28.845910808892853,33.43048104575465,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
