case_id,feature_name,source_frame_prev,source_frame_current,event_relative_ms,previous_value,current_value,delta_value,delta_time_ms,raw_rate,robust_rate,dynamic_status,dynamic_quality,local_jitter_metric,local_residual,input_quality_prev,input_quality_current,landmarks_used
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,55.0,56,-733.3333333333333,23.714985361559215,-36.55311377162964,-60.268099133188855,33.333333333333485,-1808.0429739956573,-133.7991703948275,TEMPORAL_OUTLIER,LIMITED,12.403215407263142,37.2028727623316,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:TEMPORAL_OUTLIER","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,56.0,57,-700.0,-36.55311377162964,-1.7476700653763402,34.8054437062533,33.33333333333326,1044.1633111876015,64.89014311246798,SUPPORTED,HIGH,9.114094193530182,2.494503806349146,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:TEMPORAL_OUTLIER","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,71.0,72,-200.0,-3.2967142164514627,-32.912028837681305,-29.615314621229842,33.333333333333485,-888.4594386368913,47.42811167913174,TEMPORAL_OUTLIER,LIMITED,7.578338696851972,21.224656359520147,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,72.0,73,-166.66666666666697,-32.912028837681305,-9.384981217539575,23.52704762014173,33.33333333333303,705.8114286042584,155.19943564392506,SUPPORTED,HIGH,4.23148679064952,1.39428919067415,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,63.0,64,-466.6666666666665,21.463556903277734,-0.3018086126442512,-21.765365515921985,33.333333333333485,-652.9609654776566,-309.82744704772045,SUPPORTED,HIGH,4.0877934146182575,8.320884574151313,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,52.0,53,-833.3333333333335,-10.587255181415657,10.714840596995685,21.302095778411342,33.33333333333303,639.0628733523462,318.29369765286333,SUPPORTED,HIGH,1.5755104232781498,6.643924655682568,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,49.0,50,-933.3333333333333,1.8798204759798125,-14.915110297390854,-16.794930773370666,33.333333333333485,-503.8479232011177,-132.66764337584158,LOW_DYNAMIC_CONFIDENCE,LIMITED,5.222119440402835,7.150556553773091,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,36.0,37,-1366.6666666666665,-0.0446545932178708,14.088888455144826,14.133543048362696,33.333333333333485,424.00629145087896,103.53509069102209,SUPPORTED,HIGH,2.7708063883665517,7.31896113514952,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,61.0,62,-533.333333333333,18.054344929812586,31.518955208616944,13.464610278804358,33.33333333333371,403.9383083641261,-81.86912902867456,SUPPORTED,HIGH,7.566829851297182,14.362415080364254,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:TEMPORAL_OUTLIER,right_ankle:TEMPORAL_OUTLIER | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:TEMPORAL_OUTLIER","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,hka_projected_bilateral_difference_deg,19.0,20,-1933.3333333333335,-5.391205534133434,7.808328044708588,13.199533578842022,33.33333333333337,395.98600736526015,63.223940524271846,SUPPORTED,HIGH,4.504555169705934,6.395963362556347,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,left_elbow_angle_2d_deg,33.0,34,-1466.6666666666667,79.72386668479137,160.73312244941945,81.00925576462808,33.33333333333326,2430.277672938848,849.9238642034372,TEMPORAL_OUTLIER,LIMITED,14.41088287188461,23.026923568566502,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
imported_10_leah_williamson_tygjh39bmfu_01m33s519_01m37s685_acl_candidate,left_elbow_angle_2d_deg,77.0,78,0.0,112.99767401056098,71.77907749480485,-41.21859651575613,33.33333333333303,-1236.5578954726952,-1043.2577788694332,SUPPORTED,HIGH,2.1477790733695628,2.1477790733695628,"frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:TEMPORAL_OUTLIER","frame:VALID_TARGET | left_shoulder:OBSERVED_VALID,left_elbow:OBSERVED_VALID,left_wrist:OBSERVED_VALID",['left_shoulder' 'left_elbow' 'left_wrist']
