case_id,feature_name,source_frame_prev,source_frame_current,event_relative_ms,previous_value,current_value,delta_value,delta_time_ms,raw_rate,robust_rate,dynamic_status,dynamic_quality,local_jitter_metric,local_residual,input_quality_prev,input_quality_current,landmarks_used
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,42.0,43,-1016.4705882352937,20.016772481151918,-12.686471295692115,-32.70324377684403,50.823529411764866,-643.4666020906792,-110.43486222165973,SUPPORTED,HIGH,5.19749146838009,11.289094036136438,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,21.0,22,-2083.7647058823527,-7.940181954266748,23.095145945371257,31.035327899638006,50.82352941176464,610.6488128401004,196.15940233458088,LOW_DYNAMIC_CONFIDENCE,LIMITED,6.441159227706777,11.971698993942422,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,55.0,56,-355.7647058823527,-32.48095014389844,-2.2371447821006143,30.243805361797826,50.823529411764866,595.0748740168535,152.09420594287388,LOW_DYNAMIC_CONFIDENCE,LIMITED,6.217768829333776,10.788408702430289,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,24.0,25,-1931.2941176470586,24.621314031613593,6.814374809765496,-17.806939221848097,50.82352941176464,-350.36801709654867,-189.59358728114552,SUPPORTED,HIGH,2.0479102507252556,2.0479102507252556,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,51.0,52,-559.0588235294117,9.00017885433519,-8.657674490329214,-17.657853344664403,50.823529411764866,-347.4346144204791,-126.16347290531554,SUPPORTED,HIGH,3.507227422740158,1.348205288274789,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,17.0,18,-2287.0588235294117,-11.292260022692147,6.3636793673741465,17.655939390066294,50.82352941176464,347.3969555915826,51.69788906273708,TEMPORAL_OUTLIER,LIMITED,5.125133713942079,12.461634442090416,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,50.0,51,-609.8823529411766,-7.196201835185349,9.00017885433519,16.196380689520538,50.82352941176441,318.678786715105,-82.97341725136526,SUPPORTED,HIGH,4.369180289405808,13.03544300949971,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,37.0,38,-1270.5882352941176,-15.986185028111265,-0.497280014822735,15.48890501328853,50.82352941176464,304.7585477151682,177.99138301663126,SUPPORTED,HIGH,2.5783410231181696,6.964281806455031,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,41.0,42,-1067.2941176470586,4.630510208477631,20.016772481151918,15.386262272674287,50.82352941176441,302.7389567540097,-112.76964246639358,TEMPORAL_OUTLIER,LIMITED,4.484028558848616,18.04347455192518,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
imported_3f55f120_abb1_44f1_9352_f9ebe1ec23ec_00m22s800_00m27s098_acl_candidate,hka_projected_bilateral_difference_deg,5.0,6,-2896.941176470588,-6.9534372186623585,-20.22123303638068,-13.267795817718323,50.823529411764724,-261.0561677097354,-41.432900800723495,SUPPORTED,HIGH,3.792859237156133,4.995715367614244,"frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","frame:VALID_TARGET | right_hip:OBSERVED_VALID,right_knee:OBSERVED_VALID,right_ankle:OBSERVED_VALID | frame:VALID_TARGET | left_hip:OBSERVED_VALID,left_knee:OBSERVED_VALID,left_ankle:OBSERVED_VALID","['right_hip' 'right_knee' 'right_ankle' 'left_hip' 'left_knee'
 'left_ankle']"
